COMP RESEARCH: elfquest jink warp graphics comic lot
============================================================

The search returned a very broad mix of ElfQuest Warp Graphics material — only 3 listings are directly on-point for a **Jink** lot (the 4-issue lot at $10.03 landed, the mixed Jink/Shards 5-issue lot at $20.76, and the near-complete Jink #1-10 lot at $26.46). The remaining 57 results are adjacent ElfQuest material (original magazine series, Hidden Years, Shards, Rebels, hardcovers, single issues, etc.) and must be treated as context, not direct Jink lot comps. For a Jink-specific lot, the working comp range is very thin — 3 usable sold comps, moderate confidence. The near-complete 10-issue Jink lot landed at $26.46 is the ceiling signal; a 4-issue partial lot landed at $10.03 and a mixed 5-issue Jink/Shards lot at $20.76. For a **complete or near-complete Jink #1-12 run** in VF/NM condition, a recommended list price is **$25–$30 landed**; for a partial lot (4-6 issues), price at **$12–$18 landed**. Floor is approximately $10 landed for a small partial lot. Confidence is moderate-low given the thin direct comp pool — pricing conservatively at the lower end per thin comp protocol.

────────────────────────────────────────────────────────────

item,source,date_pulled,title,condition,sold_price,shipping,total_landed,sale_type,listing_status,notes
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest Jink Lot of 4 #2 3 4 5 (1994) Warp Graphics 1st Print Comic Books,New (Other),4.28,5.75,10.03,BIN,sold,DIRECT COMP — 4-issue partial Jink lot; floor reference for small partial lots
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest Lot of 5 #Jink 7 9 Shards 1 2 3 (1995) Warp Graphics Comic Books,New (Other),13.78,6.98,20.76,BIN,sold,DIRECT COMP — mixed Jink/Shards lot; only 2 of 5 issues are Jink; use as partial comp context
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest Jink #1-10 Near Complete Series Warp Graphics 1994 10 Comic Lot,Pre-Owned,21.24,5.22,26.46,BIN,sold,DIRECT COMP — near-complete 10-issue Jink run; ceiling signal for Jink-specific lots
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest Shards #3-16 Near Complete Series Warp Graphics 1994 13 Comic Lot,Pre-Owned,13.99,7.00,20.99,BIN,sold,Adjacent comp — Shards series same era/publisher; 13-issue lot; context for per-issue value on 1994 Warp spinoffs (~$1.60/issue landed)
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest Shards #1-15 Near Complete Series Warp Graphics 1994 14 Comic Lot,Pre-Owned,24.99,5.97,30.96,BIN,sold,Adjacent comp — Shards near-complete 14-issue lot; context for 1994 Warp spinoff lot pricing (~$2.21/issue landed)
elfquest jink warp graphics comic lot,eBay,2026-04-26,ELFQUEST: SHARDS #1-16 Warp Graphics (1994) Wendy Pini & Brandon McKinney,New (Other),31.99,10.43,42.42,BIN,sold,Adjacent comp — complete 16-issue Shards run; comparable 1994 Warp spinoff series; ceiling context for complete runs (~$2.65/issue landed)
elfquest jink warp graphics comic lot,eBay,2026-04-26,ELFQUEST: THE REBELS (1994) #1-12 Complete Set Lot Full Run Warp Graphics Comics,Brand New,24.99,14.00,38.99,BIN,sold,Adjacent comp — complete 12-issue Rebels run same era; context for complete 1994 Warp spinoff pricing
elfquest jink warp graphics comic lot,eBay,2026-04-26,Elfquest: The Rebels 1-12 (1994-96) Warp Graphics Bern Harkins (missing #6) VF,Pre-Owned,16.99,5.97,22.96,BIN,sold,Adjacent comp — near-complete Rebels run missing #6; lower end for incomplete spinoff lots
elfquest jink warp graphics comic lot,eBay,2026-04-26,ELFQUEST: TWO-SPEAR #1-5 Warp Graphics (1995) Collins Barral Blair,New (Other),9.99,9.54,19.53,BIN,sold,Adjacent comp — complete 5-issue Two-Spear miniseries 1994-95 Warp; context for small complete spinoff run pricing
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest New Blood Lot 4 #15 16 19 21 1994 Warp Graphics Windkin Comics,New (Other),15.65,5.75,21.40,BIN,sold,Adjacent comp — 4-issue New Blood partial lot 1994 Warp; comparable partial lot pricing to Jink 4-issue comp
elfquest jink warp graphics comic lot,eBay,2026-04-26,Warp Graphics - ElfQuest Original B&W Graphic Series #1-21 Complete Collection,Pre-Owned,119.99,0.00,119.99,BIN,sold,Not a Jink comp — original magazine series complete run; included as ElfQuest broader market context only; exclude from Jink working range
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest #1-21 The Complete Quest 1978-1985 WaRP Graphics plus 3,Pre-Owned,147.99,0.00,147.99,BIN,sold,Not a Jink comp — original magazine complete run plus extras; broader market context only; exclude from Jink working range
elfquest jink warp graphics comic lot,eBay,2026-04-26,ELFQUEST MAGAZINE Issues 1-21 Complete Vintage Set Warp Graphics Rare!,Pre-Owned,125.00,8.22,133.22,BIN,sold,Not a Jink comp — original magazine complete run; broader market context only; exclude from Jink working range
elfquest jink warp graphics comic lot,eBay,2026-04-26,ELFQUEST MAGAZINE Issues 1-21 Complete Vintage Set Warp Graphics Rare! VF,,149.00,10.00,159.00,BIN,sold,Not a Jink comp — original magazine complete run; condition blank in data; broader market context only; exclude from Jink working range
elfquest jink warp graphics comic lot,eBay,2026-04-26,ELFQUEST: HIDDEN YEARS #1-29 Warp Graphics (1992) Wendy & Richard Pini,New (Other),59.99,12.20,72.19,BIN,sold,Not a Jink comp — 29-issue Hidden Years complete run; broader market context; exclude from Jink working range
elfquest jink warp graphics comic lot,eBay,2026-04-26,ElfQuest Hidden Years New Blood Plus More. Warp Graphics. 45 Book Lot,New (Other),30.00,19.70,49.70,BIN,sold,Not a Jink comp — large 45-book
