COMP RESEARCH: pete rose vintage topps
============================================================

Nearly all results are multi-card lots, making per-card pricing impossible to derive directly — this dataset is useful only for lot-level comps. Lot sizes range from 2 cards to 5,000+ cards, so the data spans an enormous range ($7 to $398 landed). The most relevant comps are focused Pete Rose lots (2–20 cards) which cluster between $10–$55 landed, while larger mixed HOF lots (50–200+ cards) land in the $55–$215 range. A handful of outliers represent massive bulk lots (1,500–5,000 cards) at $165–$360 that should be excluded from any single-item or small-lot pricing. Note: the query also pulled basketball card lots (Pete Maravich), general bulk lots where Rose is merely one of many names in the title, and CGC-graded lots — these are flagged in notes. Without knowing the specific item (single card vs. lot, year, grade), a firm list price cannot be set; for a focused Pete Rose vintage Topps small lot (3–16 cards, ungraded, VG–EX range), the realistic landed range is **$15–$55**, with a midpoint around **$30**.

------------------------------------------------------------

item,source,date_pulled,title,condition,sold_price,shipping,total_landed,sale_type,listing_status,notes
pete rose vintage topps,eBay,2026-05-02,26 Vintage Pete Rose MINT Baseball Card Lot - 1960s 1970s 1980s Collection,,51.00,8.06,59.06,Auction,sold,26-card Pete Rose lot; claimed MINT
pete rose vintage topps,eBay,2026-05-02,Vintage 1970s Topps Baseball Lot of Mystery Packs Mantle Mays Aaron Yaz Rose,Pre-Owned,24.77,6.00,30.77,BIN,sold,Mystery packs; Rose is one of many players — mixed lot; not a Rose-focused comp
pete rose vintage topps,eBay,2026-05-02,Lot Of 3 Vintage 1970's Topps PETE ROSE Baseball Cards,Pre-Owned,10.49,5.95,16.44,Auction,sold,3-card Rose lot; 1970s Topps
pete rose vintage topps,eBay,2026-05-02,1960's 1970's Topps Baseball Card Lot HOF Star PETE ROSE Vintage Set Builders,,12.50,5.99,18.49,Auction,sold,Small mixed HOF lot; Rose featured but not exclusive
pete rose vintage topps,eBay,2026-05-02,(250+) 1970s 1980s Vintage Card Collection Lot Ryan Rose Ripken Brett HOF RC,Pre-Owned,153.50,10.70,164.20,Auction,sold,250+ card bulk lot; Rose one of many — exclude from small-lot range
pete rose vintage topps,eBay,2026-05-02,1970's Topps Lot Of (8) VGEX-EXMT HOF Vintage MLB,Pre-Owned,15.50,4.99,20.49,Auction,sold,8-card HOF lot; Rose implied but not confirmed exclusive
pete rose vintage topps,eBay,2026-05-02,1950s 1960s 1970s 1980s Vintage Baseball Card Lot (126) Ryan HOF Stars ExMt-Mint,Pre-Owned,180.00,0.00,180.00,Auction,sold,126-card bulk lot; Rose one of many — exclude from small-lot range
pete rose vintage topps,eBay,2026-05-02,Vintage Baseball Lot 17 Cards HOF And Stars 1980 -1970's BRETT Gibson CAREW,Pre-Owned,3.00,5.72,8.72,Auction,sold,17-card mixed HOF lot; Rose not in title; floor data — low auction likely condition issues
pete rose vintage topps,eBay,2026-05-02,Baseball Cards 1970's Topps Vintage Bulk Lot Over 1500 Cards HOF Stars Commons,Pre-Owned,170.00,18.38,188.38,BIN,sold,1500+ card bulk lot; exclude from small-lot range
pete rose vintage topps,eBay,2026-05-02,Vintage 1960's 1970s Pete Rose 10 Card Baseball Lot 1969 1971 1973 1974 1968,Pre-Owned,32.05,9.99,42.04,Auction,sold,10-card Rose-focused lot; 1960s–70s Topps; solid comp
